,serial,source_type,lng,lat,location
1,1802250013,1,25.469011969589200,65.057668888971500,Mediateam2
2,1802250014,1,25.467939085983200,65.061154721016800,Humus
3,1809180051,1,25.466670000000000,65.059354000000000,Aularavintola
4,1810200011,1,25.372087000000000,64.929001000000000,Airport
5,1810200050,1,25.466801829360900,65.060539474265500,Julinia
6,1810200051,1,25.466662354492100,65.058897238735200,Corridor1
7,1811260036,1,25.467043228172200,65.058201633253600,Discus
8,1811260037,1,25.468572087310700,65.057781999051500,TS385
9,1810200015,1,25.468454000000000,65.012244000000000,Rotuaari_west
10,1810200017,1,25.471759000000000,65.011365000000000,Rotuaari_east
11,1810200016,1,25.464613000000000,65.013386000000000,Toripolliisi
12,1810200013,1,25.470128000000000,65.011700000000000,Rotuaari_crossing
13,1810200018,1,25.471072000000000,65.012489000000000,Rotuaari_square
14,1810200021,1,25.469248000000000,65.011111000000000,Rotuaari_south
15,1811260011,1,25.498753000000000,65.008995000000000,Swimming hall
16,1810200019,1,25.499396000000000,65.008072000000000,Ouluhalli
17,1806230025,1,25.457296000000000,65.009125000000000,Urheilutalo
18,1810200014,1,25.468040000000000,65.057780000000000,Near Coffee machine
19,1811260009,1,25.470236000000000,65.013908000000000,Oulu10
20,1810200022,1,25.510082000000000,64.999817000000000,OAMK
21,1806230015,1,25.470214000000000,65.014211000000000,Valve
22,1811260015,1,NULL,NULL,OAMK_Old
23,1806230017,1,NULL,NULL,Vassilis Kostakos
24,1806230001,1,25.468657917999200,65.061089125532400,tiago
25,511020015,1,NULL,NULL,
26,1806230014,1,25.466608710311800,65.059306676073300,Aularavintola Hall
27,1806230051,1,25.476216383003200,65.014165124100900,UFN-location16
28,1806230029,1,25.466324396156300,65.012801018072200,UFN-location4
29,1811260001,1,25.471517152809100,65.016276858433500,UFN-location1
30,1811260003,1,25.478641099952600,65.008300333542800,UFN-location9
31,1811260006,1,NULL,NULL,
32,1811260012,1,25.468695468925400,65.014541260681600,UFN-location3
33,1810200023,1,25.475293703102100,65.011672518885400,UFN-location15
34,1810200054,1,25.476312942527700,65.012234508377600,UFN-location14
35,1810200024,1,25.478254861854500,65.013621302808300,UFN-location13
36,1811260004,1,25.482042140983500,65.007384693589600,UFN-location10
37,1810200053,1,25.488887138389500,65.012084947812900,UFN-location11
38,1811260010,1,25.485743589424100,65.013190769763000,UFN-location12
39,1125100106,1,NULL,NULL,BtBox1
40,1806230052,1,25.470916337989800,65.010394401972000,UFN-location7
41,1806230016,1,25.475100584053000,65.015202885664400,UFN-location18
42,1811260002,1,25.477128334068200,65.014758783033000,UFN-location17
43,1806230050,1,25.465294427894500,65.012075883509400,UFN-location5
44,1806230022,1,25.466882295631400,65.011504826181200,UFN-location6
45,1806230028,1,25.463180847190800,65.014599040229300,projector_north
46,1811260008,1,25.472708053611700,65.009895829144100,UFN-location8
47,1806230026,1,25.470776863121000,65.016050285495600,UFN-location2
48,1811260005,1,25.462966270469600,65.014458556406200,projector_south
49,1118100105,1,NULL,NULL,FabioOffice
50,1811260007,1,25.456308000000000,65.081032000000000,Ritaharju
51,1806230002,1,25.463112000000000,65.015244000000000,Main library
52,1118100156,1,NULL,NULL,BtBox2
53,1118100102,1,NULL,NULL,BtBoxAdvanced1
54,1125100111,1,25.470402000000000,65.010192000000000,Veripalvelu
55,1125100107,1,NULL,NULL,BtBox3
56,1125100108,1,25.467982000000000,65.014171000000000,BtBox4
57,1125100109,1,NULL,NULL,BtBox5
